trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
55,True,"{'a': 0, 'e': 0}",20,8,19.453479310183788,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,True,"{'a': 0, 'e': 0}",20,6,27.805349436514298,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,True,"{'a': 0, 'e': 0}",20,6,20.620894113413158,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,True,"{'a': 0, 'e': 0}",35,21,26.21133948790628,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,True,"{'a': 0, 'e': 0}",25,11,27.818423645033256,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,True,"{'a': 0, 'e': 0}",25,11,24.68867299095139,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,True,"{'a': 0, 'e': 0}",25,11,27.151264354476485,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,True,"{'a': 0, 'e': 0}",20,5,26.12482335988137,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,True,"{'a': 0, 'e': 0}",30,12,28.284443903349942,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,True,"{'a': 0, 'e': 0}",30,12,36.33697774675094,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,True,"{'a': 0, 'e': 0}",25,3,37.52930952142976,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,True,"{'a': 0, 'e': 0}",25,14,25.487180676374496,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,True,"{'a': 0, 'e': 0}",25,12,23.352757668673934,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,True,"{'a': 0, 'e': 0}",30,18,22.684597850474056,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,True,"{'a': 0, 'e': 0}",30,18,19.46238519372847,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,True,"{'a': 0, 'e': 0}",20,10,23.22748732374166,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,True,"{'a': 0, 'e': 0}",25,11,24.101430032961428,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,True,"{'a': 0, 'e': 0}",20,12,15.905720645938,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,True,"{'a': 0, 'e': 0}",20,5,22.102053989372326,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,True,"{'a': 0, 'e': 0}",20,6,25.758941953987463,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,True,"{'a': 0, 'e': 0}",25,13,20.89181202754478,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,True,"{'a': 0, 'e': 0}",20,14,10.651541053106131,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,True,"{'a': 0, 'e': 0}",35,15,43.282721192146944,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,True,"{'a': 0, 'e': 0}",20,10,18.301299270803952,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,True,"{'a': 0, 'e': 0}",25,8,31.205880394080886,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,True,"{'a': 0, 'e': 0}",20,8,22.001335251312813,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,True,"{'a': 0, 'e': 0}",25,13,22.933833511720245,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,True,"{'a': 0, 'e': 0}",20,11,18.751750635762917,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,True,"{'a': 0, 'e': 0}",35,18,29.42081513395205,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,True,"{'a': 0, 'e': 0}",25,13,22.86766105613645,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,True,"{'a': 0, 'e': 0}",30,23,13.619026824146532,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,True,"{'a': 0, 'e': 0}",20,15,9.96305809492881,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,True,"{'a': 0, 'e': 0}",25,16,15.179311333059227,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,True,"{'a': 0, 'e': 0}",20,16,6.419039164010999,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,True,"{'a': 0, 'e': 0}",20,9,21.4455283344959,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,True,"{'a': 0, 'e': 0}",20,16,7.92381908060614,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,True,"{'a': 0, 'e': 0}",20,0,30.800994370353454,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
92,True,"{'a': 0, 'e': 0}",30,16,24.77558820885897,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,True,"{'a': 0, 'e': 0}",25,20,8.455646399050124,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,True,"{'a': 0, 'e': 0}",30,18,21.63137897069566,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,True,"{'a': 0, 'e': 0}",20,8,22.064368999413148,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,True,"{'a': 0, 'e': 0}",35,20,27.12979699323455,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,True,"{'a': 0, 'e': 0}",25,12,21.762043520521367,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,True,"{'a': 0, 'e': 0}",20,2,35.668939701964725,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,True,"{'a': 0, 'e': 0}",20,16,7.615124599996609,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,True,"{'a': 0, 'e': 0}",30,13,31.11984263894549,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
